sku,name,nature,category,brand,sale_price,location,min_stock,barcode,unit,notes
000027,Organizador 2,PRODUCTO_STOCKEABLE,Organizadores,AliExpress,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8422@2026-08-03 | PILAR=P2 - Inventario.xlsx#1032@2026-08-10
000028,Marcadores de Dibujos Animados,PRODUCTO_STOCKEABLE,Marcadores,AliExpress,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8418@2026-08-03
000030,Sujetador Magnetico,PRODUCTO_STOCKEABLE,Sujetadores,AliExpress,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8459@2026-08-03 | PILAR=P2 - Inventario.xlsx#1051@2026-08-10
000031,Organizador 4,PRODUCTO_STOCKEABLE,Organizadores,AliExpress,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#1033@2026-08-10
000033,Cordon Niño Pro Ray,PRODUCTO_STOCKEABLE,Accesorios,Proray,,,,,UNIDAD,variante en PILAR (P2 - Inventario.xlsx fila 1050): Cordon Niño Proray || origen: ASUNCION=PC - Inventario.xlsx#5235@2026-08-03 | PILAR=P2 - Inventario.xlsx#1050@2026-08-10
000034,Parche ocular para niños,PRODUCTO_STOCKEABLE,Accesorios,Óptica Puppilent`s,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#24@2026-08-03 | PILAR=P2 - Inventario.xlsx#4@2026-08-10
000035,Toallitas antiempañanates para lentes,PRODUCTO_STOCKEABLE,Accesorios,Powerclean,,,,,UNIDAD,variante en PILAR (P2 - Inventario.xlsx fila 5): Toallitas antiempañantes para lentes || origen: ASUNCION=PC - Inventario.xlsx#25@2026-08-03 | PILAR=P2 - Inventario.xlsx#5@2026-08-10
000036,Estuche con diseño para Lente de contacto con 2 accesorios.,PRODUCTO_STOCKEABLE,Accesorios,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#15@2026-08-03 | PILAR=P2 - Inventario.xlsx#6@2026-08-10
000037,LIMPIA CRISTAL OBSEQUIO,PRODUCTO_STOCKEABLE,Limpia Cristales,Óptica Puppilent`s,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8398@2026-08-03 | PILAR=P2 - Inventario.xlsx#1022@2026-08-10
000038,PARCHE PARA OJO,PRODUCTO_STOCKEABLE,Accesorios,Óptica Puppilent`s,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#16@2026-08-03
000039,LINTERNA O LUZ CHICA CON SUJETADOR PARA PATILLA,PRODUCTO_STOCKEABLE,Accesorios,Óptica Puppilent`s,,,,,UNIDAD,variante en PILAR (P2 - Inventario.xlsx fila 11): linterna o luz chica con sujetador p/ patilla || origen: ASUNCION=PC - Inventario.xlsx#17@2026-08-03 | PILAR=P2 - Inventario.xlsx#11@2026-08-10
000040,Mostacilla Hanis,PRODUCTO_STOCKEABLE,Accesorios,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#18@2026-08-03 | PILAR=P2 - Inventario.xlsx#7@2026-08-10
000041,Goma Ajustable Negro,PRODUCTO_STOCKEABLE,Accesorios,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#19@2026-08-03 | PILAR=P2 - Inventario.xlsx#10@2026-08-10
000042,Destornillador Llavero,PRODUCTO_STOCKEABLE,Accesorios,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#12@2026-08-03 | PILAR=P2 - Inventario.xlsx#8@2026-08-10
000043,Kit de mantenimiento,PRODUCTO_STOCKEABLE,Accesorios,Optica Puppilents,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#13@2026-08-03 | PILAR=P2 - Inventario.xlsx#9@2026-08-10
000044,Cordon  Sujetador de Lente,PRODUCTO_STOCKEABLE,Accesorios,AliExpress,,,,,UNIDAD,variante en PILAR (P2 - Inventario.xlsx fila 12): cordón sujetador de lente || origen: ASUNCION=PC - Inventario.xlsx#14@2026-08-03 | PILAR=P2 - Inventario.xlsx#12@2026-08-10
100000000004,LUPA MAGNIFIER X2 X4,PRODUCTO_STOCKEABLE,Accesorios,MAGNIFIER,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#26@2026-08-03
2000054,Compostura de Patilla Izquierda,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#840@2026-08-10
2000055,Compostura de Patilla Derecha,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#841@2026-08-10
2000056,Par de patillas,PRODUCTO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,"naturaleza por decisión humana || STOCK_INITIAL_PENDING_PHYSICAL_VERIFICATION en PILAR: SOURCE_REPORTED_QUANTITY=526 (526 declarados el 2026-08-10 y 616 el 2026-08-04: dos cifras distintas del mismo mes, ninguna verificada. Decisión humana: la pieza entra al catálogo, la cantidad espera un conteo) || origen: PILAR=P2 - Inventario.xlsx#842@2026-08-10"
2000057,Compostura Simple,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#843@2026-08-10
2000058,Compostura Flex,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#844@2026-08-10
2000060,Organico UVX,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#845@2026-08-10
2000061,Fotocromático (AR),TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#846@2026-08-10
2000062,Multifocal (OP),TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#847@2026-08-10
2000063,Kripto (Kto) Organico UVX,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#848@2026-08-10
2000064,Blue Ar,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#849@2026-08-10
2000065,Adaptacion de cristal,SERVICIO_NO_STOCKEABLE,Compostura,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#850@2026-08-10
2000066,Solamax,TRABAJO_BAJO_PEDIDO,Cristales,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#851@2026-08-10
2000067,Bifocal (ST),TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,naturaleza por decisión humana (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#852@2026-08-10
2000070,Hilo,PRODUCTO_STOCKEABLE,Compostura,Laboratorio Optilab,,,,,UNIDAD,"naturaleza por decisión humana || STOCK_INITIAL_PENDING_PHYSICAL_VERIFICATION en PILAR: SOURCE_REPORTED_QUANTITY=99981 (99.981 declarados: valor centinela, no un conteo. Falta recuento real) || origen: PILAR=P2 - Inventario.xlsx#854@2026-08-10"
2000071,Tornillo,PRODUCTO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,"naturaleza por decisión humana || STOCK_INITIAL_PENDING_PHYSICAL_VERIFICATION en PILAR: SOURCE_REPORTED_QUANTITY=99425 (99.425 declarados: valor centinela, no un conteo. Falta recuento real) || origen: PILAR=P2 - Inventario.xlsx#855@2026-08-10"
2000072,Plaqueta,PRODUCTO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,"naturaleza por decisión humana || STOCK_INITIAL_PENDING_PHYSICAL_VERIFICATION en PILAR: SOURCE_REPORTED_QUANTITY=9393 (9.393 declarados: valor centinela, no un conteo. Falta recuento real) || origen: PILAR=P2 - Inventario.xlsx#856@2026-08-10"
2000073,Multiblue,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#859@2026-08-10
2000074,Progresivo OP,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#860@2026-08-10
2000075,Futurex Protec,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#861@2026-08-10
2000076,Blue Protec,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#862@2026-08-10
2000086,Foto Sunactive,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#863@2026-08-10
2000101,CENTRADO,SERVICIO_NO_STOCKEABLE,Compostura,Óptica Puppilent`s,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#839@2026-08-10
2000125,FUTUREX STEEL,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#865@2026-08-10
2000126,FUTUREX G2,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#881@2026-08-10
2000127,Green AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#864@2026-08-10
2000140,Estuches para Anteojos,PRODUCTO_STOCKEABLE,Accesorios,Proray,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#3@2026-08-10
2000146,Capuchon,PRODUCTO_STOCKEABLE,Sujetadores,Optica San Cayetano,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8424@2026-08-03 | PILAR=P2 - Inventario.xlsx#1040@2026-08-10
2000147,Compostura de Porta Plaquetas,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#858@2026-08-10
2000148,Compostura del Puente del Armazon,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#857@2026-08-10
2000149,Compostura del Aro del Armazon,SERVICIO_NO_STOCKEABLE,Compostura,Optica San Cayetano,,,,,UNIDAD,naturaleza por decisión humana || origen: PILAR=P2 - Inventario.xlsx#838@2026-08-10
2000206,Kto.Invisible,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#874@2026-08-10
2000207,Kto.AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#875@2026-08-10
2000208,Kto.Blue AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#876@2026-08-10
2000209,Blue Fotocromatico AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#877@2026-08-10
2000210,Multifocal Foto AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#878@2026-08-10
2000211,Multifocal AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#879@2026-08-10
2000212,ST Fotocromatico,PRODUCTO_STOCKEABLE,Armazones,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#809@2026-08-10
2000213,Org AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#868@2026-08-10
