sku,name,nature,category,brand,sale_price,location,min_stock,barcode,unit,notes
ASU-104887,AC PAT FLEX AZL K9853 57-19-145 C702,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6718@2026-08-03
ASU-104891,AC PAT FLEX DORADO K9546 53--17-140 C529,PRODUCTO_STOCKEABLE,Armazones,Unicity,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6735@2026-08-03
ASU-104897,AC PAT FLEX NEGRO ROJO M8105 59-16-145 C1,PRODUCTO_STOCKEABLE,Armazones,Graffiti,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6684@2026-08-03
ASU-104898,AC PAT FLEX AZUL V1317 48-21-145 C700,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6767@2026-08-03
ASU-104903,AC PAT FLEX NEGRO H2678 56-21-140 C602,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6733@2026-08-03
ASU-104907,AC PAT FLEX MARRON K9838 49-22-144 C13,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6744@2026-08-03
ASU-104917,AC PAT FIJA AZUL SP5019 091 58-16-135,PRODUCTO_STOCKEABLE,Armazones,Adidas,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6690@2026-08-03
ASU-104919,AC PAT FLEX NEGRO PLD D39 7C5 145,PRODUCTO_STOCKEABLE,Armazones,Polaroid,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6689@2026-08-03
ASU-104922,AC PAT FIJA DORADO K9857 52-17-142 C20,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6721@2026-08-03
ASU-104927,AC PAT FIJA PLATEADO K9858 51-20-140 C600,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6723@2026-08-03
ASU-104933,AC PAT FLEX VERDE K9851 54-16-140 C526,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6712@2026-08-03
ASU-104964,AC PAT FLEX NEGRO YC-24008 C3 55-18-140,PRODUCTO_STOCKEABLE,Armazones,Cambridge,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6864@2026-08-03
ASU-104968,AC PAT FLEX NEGRO F8752 54-17-140 C1,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6824@2026-08-03
ASU-104970,AC PAT FIJA MARRON RB 4378V 8172 54-16-145,PRODUCTO_STOCKEABLE,Armazones,Rayban,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6868@2026-08-03
ASU-104976,AC PAT FLEX VERDE XB07 55-17-145 C5,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6835@2026-08-03
ASU-104982,AH PAT FLEX ROSA TL3921 54-18-140 C4,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6786@2026-08-03
ASU-104987,AC PAT FIJA NEGRO K9857 52-17-142 CF200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6785@2026-08-03
ASU-104992,AC PAT FLEX VERDE XB2012 53-22-145 C8,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6825@2026-08-03
ASU-104996,AC PAT FLEX ANIMAL PRINT K9736 55-17-145 C512,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6852@2026-08-03
ASU-105024,AC PAT FLEX BLANCO GU50113 021 53-18-145,PRODUCTO_STOCKEABLE,Armazones,Guess,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6872@2026-08-03
ASU-105026,AC PAT FLEX NEGRO K9843 57-16-146 CF200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6929@2026-08-03
ASU-105035,AC PAT FLEX NEGRO MS20005 53-18-140 C1,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6843@2026-08-03
ASU-105039,AC PAT FIJA NEGRO CLIP ON BS2405 53-17-145 CF13,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6851@2026-08-03
ASU-105051,AC PAT FLEX NEGRO XB2018 50-23-145 C1,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6838@2026-08-03
ASU-105056,AC PAT FLEX AZUL V1255 59-18-150 CF700,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6947@2026-08-03
ASU-105060,AC PAT FLEX TRANSPARENTE XB2015 52-25-145 C2,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6833@2026-08-03
ASU-105066,AC PAT FLEX ROSA CLIP-ON 7002 54-14-142,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7081@2026-08-03
ASU-105070,AC PAT FLEX AZUL V1265 58-19-150 C700,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6950@2026-08-03
ASU-105086,AH PAT FIJA NEGRO FZ 7003 101 57-17-145,PRODUCTO_STOCKEABLE,Armazones,Ferrari,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6876@2026-08-03
ASU-105092,AC PAT FIJA ANIMAL PRINT 9901 53-15-140 C2,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6799@2026-08-03
ASU-105104,AC PAT FLEX GRIS DB1018 46-18-145 C2,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6793@2026-08-03
ASU-105115,AC PAT FLEX AZUL V1263 54-17-145 C700,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6958@2026-08-03
ASU-105119,AC PAT FLEX NEGRO V1319 58-18-150 C207,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6951@2026-08-03
ASU-105127,AC PAT FLEX NEGRO V1255 59-18-150 C208,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6953@2026-08-03
ASU-105129,AH PAT FLEX ROJO JS062 52-17-140 C2,PRODUCTO_STOCKEABLE,Armazones,Graffiti,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6964@2026-08-03
ASU-105143,AC PAT FLEX NEGRO K9670 53-19-145 C502,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6921@2026-08-03
ASU-105150,AC PAT FLEX VERDE K9843 57-16-146 C400,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6918@2026-08-03
ASU-105161,AC PAT FLEX ANIMAL PRINT G-8264 C2 55-16-140,PRODUCTO_STOCKEABLE,Armazones,Graffiti,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6963@2026-08-03
ASU-105166,AC PAT FLEX NEGRO V1265 58-19-150 C219,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6952@2026-08-03
ASU-105182,AC PAT FLEX NEGRO K9383 59-18-145 C214,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6906@2026-08-03
ASU-105188,AC PAT FLEX AZUL H3086 56-18-143 CF624,PRODUCTO_STOCKEABLE,Armazones,Unicity,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6935@2026-08-03
ASU-105192,AC PAT FLEX CELESTE K9807 55-16-145 C507,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6910@2026-08-03
ASU-105201,AC PAT FIJA ROSA BSC1905 55-17-139 COL.TCK7,PRODUCTO_STOCKEABLE,Lentes de Sol,Bossi,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8263@2026-08-03
ASU-105208,AC PAT FIJA ROJO SP1017 64-18-132 C3,PRODUCTO_STOCKEABLE,Lentes de Sol,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8285@2026-08-03
ASU-105209,AC PAT FIJA NEGRO SD9303N 65-17-120 C108RS,PRODUCTO_STOCKEABLE,Lentes de Sol,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8283@2026-08-03
ASU-105210,AC PAT FIJA DORADO DCP23003 59-16-144 CCET2,PRODUCTO_STOCKEABLE,Lentes de Sol,Discovery,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8294@2026-08-03
ASU-105211,AH PAT FLEX NEGRO K8885 52-17-135 COL-194,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6982@2026-08-03
ASU-105215,AC PAT FIJA LILA BSC1903 51-18-140 COL.T75,PRODUCTO_STOCKEABLE,Lentes de Sol,Bossi,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8262@2026-08-03
ASU-105216,AH PAT FLEX GRIS CLIP-ON K6671 49-20-135 COL-8,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6984@2026-08-03
ASU-105220,AC PAT FIJA NEGRO BSC1902 56-15-140 COL.B1,PRODUCTO_STOCKEABLE,Lentes de Sol,Bossi,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8260@2026-08-03
ASU-105222,AC PAT FLEX NEGRO GAS1119 53-18-145 C1,PRODUCTO_STOCKEABLE,Armazones,Graffiti,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1397@2026-08-03
ASU-105227,AC PAT FLEX NARANJA K9397 53-17-140 C980,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6968@2026-08-03
ASU-105233,AH PAT FLEX GRIS CLIP-ON K6671 49-20-135 COL-8,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6985@2026-08-03
ASU-105235,AC PAT FLEX ROSA CLARO V1163 53-17-145 COL.11,PRODUCTO_STOCKEABLE,Armazones,Vicrola,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1282@2026-08-03
ASU-105242,AT PAT FIJA PLATEADO DP020-014 C31,PRODUCTO_STOCKEABLE,Lentes de Sol,Discovery,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8292@2026-08-03
ASU-105252,AC PAT FIJA TURQUESA BSC1904 50-23-143 COL.HT34,PRODUCTO_STOCKEABLE,Lentes de Sol,Bossi,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8264@2026-08-03
ASU-105257,AC PAT FIJA CREMA BOC1916 54-19-140 CC0,PRODUCTO_STOCKEABLE,Lentes de Sol,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8273@2026-08-03
ASU-105258,AC PAT FLEX BLANCO MQ5334 55-16-142 C5,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7000@2026-08-03
ASU-105268,AH PAT FLEX GRIS K9160 55-19-132 COL-10,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#6980@2026-08-03
ASU-105272,AC PAT FIJA DORADO DCP23005 59-16-140 CCBK0,PRODUCTO_STOCKEABLE,Lentes de Sol,Discovery,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8291@2026-08-03
ASU-105273,AC PAT FLEX VERDE CLIP-ON G5376 54-17-145 C3,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7064@2026-08-03
ASU-105274,AC PAT FLEX LILA L23002 51-18-142 C6,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7054@2026-08-03
ASU-105275,AC PAT FIJA BORDO CLIP-ON YC3037 53-18-140 C3,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7075@2026-08-03
ASU-105278,AC PAT FLEX AZUL CLIP-ON G5166 56-19-150 C6,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7062@2026-08-03
ASU-105279,AC PAT FLEX CELESTE CLIP-ON G5519 54-17-145 C5,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7069@2026-08-03
ASU-105282,AC PAT FIJA MARRON CLIP ON BS2404 55-16-140 CF2,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1402@2026-08-03
ASU-105295,AC PAT FLEX NEGRO FZ 8004U 501 57-17-145,PRODUCTO_STOCKEABLE,Armazones,Ferrari,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1401@2026-08-03
ASU-105297,AC PAT FLEX AZUL CLIP-ON G5376 54-17-145 C4,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7070@2026-08-03
ASU-105302,AC PAT FLEX NEGRO AZUL H2682 60-15-143 C602,PRODUCTO_STOCKEABLE,Armazones,Unicity,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1399@2026-08-03
ASU-105304,AC PAT FIJA NEGRO CLIP-ON YC3038 49-19-140 C1,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7077@2026-08-03
ASU-105305,AC PAT FIJA BORDO CLIP-ON YC3037 53-18-140 C3,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7073@2026-08-03
ASU-105309,AC PAT FIJA AZUL CLIP-ON YC3036 51-18-140 C5,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1400@2026-08-03
ASU-105313,AC PAT FIJA NEGRO CLIP-ON YC3038 49-19-140 C4,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7074@2026-08-03
ASU-105315,AC PAT FLEX NEGRO CLIP-ON CH9110 55-17-145 C5,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7063@2026-08-03
ASU-105321,AC PAT FIJA NEGRO CLIP-ON YC3036 51-18-140 C4,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7082@2026-08-03
ASU-105322,AC PAT FLEX NEGRO L23001 50-18-142 C2,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7057@2026-08-03
ASU-105323,AC PAT FLEX NEGRO H2046 45-17-130 C3,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7055@2026-08-03
ASU-105326,AC PAT FLEX GRIS HT2104 45-18-140 C4,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7030@2026-08-03
ASU-105328,AC PAT FLEX ROSA J0048 48-17-138,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7034@2026-08-03
ASU-105335,AC PAT FLEX AZUL HT2113 47-20-135 C2,PRODUCTO_STOCKEABLE,Armazones,Altania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7053@2026-08-03
ASU-105336,AC PAT FLEX MARRON-AZUL 51048 46-16-130 C5,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7033@2026-08-03
ASU-105355,AC PAT FLEX GRIS K9889 54-19-140 COL-600,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1355@2026-08-03
ASU-105363,AC PAT FLEX NEGRO K9889 54-19-140 COL-F200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1356@2026-08-03
ASU-105368,AC PAT FLEX DORADO K9881 53-17-145 C508,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1343@2026-08-03
ASU-105371,AC PAT FLEX NEGRO K9831 56-17-145 COL-602,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1325@2026-08-03
ASU-105390,AC PAT FLEX NEGRO K9856 51-20-142 COL-F200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1318@2026-08-03
ASU-105393,AC PAT FIJA NEGRO K9876 53-19-145 COL-F200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1352@2026-08-03
ASU-105395,AC PAT FIJA MARRON K9876 53-19-145 COL-26,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1353@2026-08-03
ASU-105405,AC PAT FLEX DORADO K9870 53-19-144 COL-22,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1364@2026-08-03
ASU-105415,AC PAT FLEX GRIS K9854 54-18-142 C626,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1341@2026-08-03
ASU-105426,AC PAT FLEX ROSA K9863 54-17-140 C524,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1348@2026-08-03
ASU-105434,AC PAT FLEX AZUL GV1032 59-18-150 C3,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7113@2026-08-03
ASU-105435,AC PAT FLEX NEGRO GV1032 59-18-150 C2,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7112@2026-08-03
ASU-105436,AC PAT FIJA NEGRO K9876 53-19-145 COL-F200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1211@2026-08-03
ASU-105443,AC PAT FLEX ROJO G8008 53-16-142 C5,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7111@2026-08-03
ASU-105444,AC PAT FLEX BLANCO G8053 54-17-142 C4,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7115@2026-08-03
ASU-105454,AC PAT FLEX NEGRO KY146 51-17-140 C1,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7123@2026-08-03
ASU-105464,AC PAT FIJA TRANSPARENTE K9838 49-22-144 C19,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1388@2026-08-03
ASU-105471,AC PAT FLEX MARRON GV1050 60-18-150 C3,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7087@2026-08-03
ASU-105474,AC PAT FLEX ROSA GV1028 50-19-145 C3,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7095@2026-08-03
ASU-105478,AC PAT FIJA NEGRO K9838 49-22-144 C200,PRODUCTO_STOCKEABLE,Armazones,Steffani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1387@2026-08-03
ASU-105488,AC PAT FLEX AZUL HD5029 50-16-140 C9,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7100@2026-08-03
ASU-105489,AC PAT FLEX MARRON 9029 52-20-143 C3,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7128@2026-08-03
ASU-105496,AC PAT FLEX GRIS GU33056 54-19-140 C5,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7114@2026-08-03
ASU-105498,AC PAT FLEX AZUL BA2316 55-17-150 CFE3,PRODUCTO_STOCKEABLE,Armazones,Bacchio,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7140@2026-08-03
ASU-105504,AH PAT FLEX NEGRO BA2310 56-18-145 CB1,PRODUCTO_STOCKEABLE,Armazones,Bacchio,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7134@2026-08-03
ASU-105508,AC PAT FIJA ROSA CS064 C40BN 57-17-138,PRODUCTO_STOCKEABLE,Armazones,Crocs,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1390@2026-08-03
ASU-105522,AC PAT FLEX AZUL RD26049 50-19-140 C3,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7149@2026-08-03
ASU-105525,AC PAT FLEX GRIS 97272 54-20-145 C5,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7273@2026-08-03
ASU-105526,AC PAT FLEX NEGRO CLIP ON 8118 55-17-142 C3,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7203@2026-08-03
ASU-105529,AC PAT FLEX TRANSPARENTE A77004 48-19-135 C1,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7154@2026-08-03
ASU-105536,AC PAT FLEX NEGRO CLIP ON PY11002 54-16-143 C1,PRODUCTO_STOCKEABLE,Armazones,CG,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7200@2026-08-03
ASU-105540,AC PAT FLEX NEGRO AY6938 58-18-150 C4,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7281@2026-08-03
ASU-105542,AC PAT FLEX DORADO MARRON 3018B 56-16-135,PRODUCTO_STOCKEABLE,Armazones,Tio Smith,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#1210@2026-08-03
ASU-105543,AC PAT FLEX TRANSPARENTE RDA10054 52-19-145 C2,PRODUCTO_STOCKEABLE,Armazones,Betania,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7275@2026-08-03
ASU-105546,AC PAT FIJA NEGRO DCP23013 54-20-141 COL.CF1,PRODUCTO_STOCKEABLE,Lentes de Sol,Discovery,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7801@2026-08-03
ASU-105551,AC PAT FIJA NEGRO BS2422 50-20-145 CF13,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7204@2026-08-03
ASU-105559,AC PAT FIJA NEGRO PEI017 50-19-142 C2,PRODUCTO_STOCKEABLE,Armazones,Bacchio,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7166@2026-08-03
ASU-105578,AC PAT FIJA GRIS BA2208 58-19-145 CBE12,PRODUCTO_STOCKEABLE,Armazones,Bacchio,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7178@2026-08-03
ASU-105580,AC PAT FLEX TRANSPARENTE XB2011 58-18-145 C2,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7191@2026-08-03
ASU-105585,AC PAT FLEX MARRON XB2011 58-18-145 C7,PRODUCTO_STOCKEABLE,Armazones,Bosani,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7193@2026-08-03
ASU-105588,AC PAT FLEX AZUL HM2010 55-16-145 C3,PRODUCTO_STOCKEABLE,Armazones,Hanis,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7183@2026-08-03
ASU-105595,AC PAT FLEX ROJO MAYAN 2 42-15-125 COL I,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7213@2026-08-03
ASU-105596,AC PAT FLEX NEGRO NICKI 48-16-138 COL JS,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7217@2026-08-03
ASU-105598,AC PAT FLEX AZUL MAYAN 2 42-15-125 COL DS,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7214@2026-08-03
ASU-105599,AC PAT FLEX AZUL MIKE 1 42-17-130 COL DP,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7219@2026-08-03
ASU-105601,AC PAT FLEX LILA MAYAN 3 47-17-128 COL P,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7221@2026-08-03
ASU-105602,AC PAT FLEX GRIS MAYAN 2 42-15-125 COL J,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7216@2026-08-03
ASU-105604,AC PAT FLEX AZUL MIKE 1 42-17-130 COL CP,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7212@2026-08-03
ASU-105607,AC PAT FLEX AZUL WILL 47-16-135 C130,PRODUCTO_STOCKEABLE,Armazones,Mira Flex,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7205@2026-08-03
